DATA	GSM839353	GSM839354	GSM839355	GSM839356	GSM839357	GSM839358	GSM839359	GSM839360	GSM839361	GSM839362	GSM839363	GSM839364
RP11-151E14.1	4.307030229	4.35404456	4.358168566	4.128280221	4.45391907	4.302956009	4.51737707	4.159890017	4.182704346	4.557669428	4.061156647	4.342164049
RP11-152L20.3	2.963339071	3.011446155	3.068515319	2.968195701	3.054278666	3.13414819	2.703370226	2.826282597	3.050625031	3.172981986	2.896295534	3.060512725
RP11-153K16.2	3.384930745	3.324898901	3.303682258	3.653058083	3.321921952	3.446056875	3.109392037	3.233565595	3.255582266	3.292165259	3.283930565	3.212631421
RP11-155O18.6	5.366615531	5.13073768	5.27538801	5.383780608	5.644176331	5.265739795	5.18659692	5.044902572	5.191094021	5.477648408	5.077701775	5.20307048
RP11-157B13.7	3.442463656	3.542117227	3.677262895	3.504005794	3.753266071	3.639812781	3.286189116	3.600848672	3.469776094	3.547843312	3.326076273	3.538133874
RP11-157E16.1	2.848692036	2.886744468	2.868501023	2.858171126	2.904432181	2.860574917	2.912562898	3.177836485	2.874076314	2.777955185	2.788846821	2.78775177
RP11-157P1.4	7.283519554	7.360124037	7.371595566	7.400266778	6.805845419	6.992597531	7.017419748	6.669968558	6.781093472	6.937864359	6.951153127	6.798562112
RP11-158G18.1	3.458882894	3.615838105	3.649216157	3.273950507	3.507591785	3.619862558	3.235197408	3.794717552	3.604386829	3.352411745	3.552090659	3.675455921
RP11-15P13.1	3.459439024	2.680548714	2.856338113	3.008578118	2.83284301	2.947610407	2.839390321	2.780047477	2.786293575	3.000489532	2.832037684	2.894312798
RP11-161D15.1	3.27237466	3.478176518	3.658835832	3.697171325	3.768691811	3.500817655	3.517759651	3.652211446	3.644632708	3.48235312	3.68872285	3.983326299
RP11-161I6.2	2.757015481	2.913517492	3.016223099	2.951699365	2.866456692	2.941446675	2.853116351	3.032924895	2.924970738	2.944715675	2.900235401	2.70396528
RP11-164P12.3	4.495969507	4.269971914	4.874468099	4.408691269	4.783794497	4.430413187	4.29223631	4.541669686	4.502473376	4.583653806	4.375328892	4.511413181
RP11-164P12.4	4.795370081	5.036844541	4.765117104	4.81536624	4.406936986	4.364545682	4.524665526	3.996586641	4.442802723	4.585431405	4.51847221	4.539268611
RP11-166P13.4	3.828575065	3.753439951	3.943860111	3.68870561	3.84488907	3.659768824	3.753439951	3.665401195	3.7054015	3.946900489	3.760080548	4.046321141
RP11-167H9.3	3.722681046	3.789412787	3.853641856	4.028777583	4.011238539	3.805080686	3.871976143	4.081957895	3.705020491	3.800010953	3.641934092	3.647710394
RP11-16N11.2	3.448175333	3.618762438	3.6177713535000002	3.4633387235	3.6886972149999995	3.468918901	3.6273447625	3.6181117755	3.6578174064999995	3.5822679500000003	3.486158057	3.531275694
RP11-16P6.1	4.9378351695	5.1430443675	4.8538915055	5.1126767235	4.021609574	4.1787462105	4.119161505	4.1473564565	5.2446613515	5.3812151075	5.407277044000001	5.1354286635
RP11-171I2.1	2.688564469	2.662706267	2.63883186	2.780131012	2.719348898	2.595331808	2.668466229	2.726265476	2.703675598	2.677817397	2.700146481	2.555174866
RP11-171I2.4	3.715043336	3.603835081	3.712803497	3.55690374	3.824785425	3.817203164	3.781346987	4.040116826	3.70592775	3.910777042	4.12483219	3.846122333
RP11-171N4.1	2.593466446	2.665906284	2.556855713	2.627091988	2.450575903	2.560404957	2.550355473	2.778876423	2.614399317	2.533859327	2.546551997	2.650091293
RP11-173B14.4	5.077311256	5.106456713	5.087821409	5.098162416	5.277737293	5.261997968	4.953591332	5.083137998	5.108518024	5.212830051	5.217659162	5.021406605
RP11-173M1.8	6.316639137	6.501760541	6.495962967	6.637185411	5.82565434	6.237569313	6.437011141	6.166308778	6.378162076	6.248296433	6.284076335	6.363815979
RP11-174G6.5	4.173780318	4.178566772	4.179949523	4.103843171	4.355438846	4.069574598	3.992074079	4.301297312	4.200281013	4.385930273	3.960952583	4.373156936
RP11-177N22.3	3.814136111	3.798868818	3.722293863	3.234304251	3.615297321	3.683279834	4.00177287	3.81869862	3.848668269	3.708144134	3.662793518	3.365635534
RP11-179B15.6	3.527841758	3.584308251	3.484616795	3.534137898	3.615297321	3.384747686	3.738494356	3.529723641	3.47562973	3.494422613	3.781668729	3.409281996
RP11-17A4.3	4.645467476	4.444360244	4.910412232	4.521828141	4.62557332	4.604576458	4.623697619	4.611385514	4.45616206	4.843613532	4.590388652	4.529624166
RP11-180N14.1	2.780400307	3.143498157	2.727862088	2.840594216	2.805277651	3.147881634	2.821554788	2.930703818	2.980769249	2.976507814	2.761431548	2.852166552
RP11-182J23.1	3.147316377	3.007600166	3.002050683	3.284658024	3.157858858	3.253056551	3.189139349	2.956352229	2.922998407	3.071895752	3.083002808	3.01212207
RP11-182L21.5	6.177942568	6.325451316	6.157139989	6.131597159	6.090772366	5.752305994	5.990865628	5.962894865	6.719607802	6.313387538	6.504754498	6.140019755
RP11-184E9.2	6.153431598	5.939499728	6.061086786	5.999103667	5.656185145	5.841532841	6.121114197	6.093794464	6.117249108	6.07841159	5.996180409	5.984411301
RP11-186F10.2	3.60830232	3.355657462	3.34490371	3.393851104	3.392100226	3.451686503	3.373878844	3.392100226	3.352625937	3.313617881	3.565600498	3.373878844
RP11-18F14.4	3.405514522	3.456224885	3.798478893	3.543976817	3.489115098	3.456224885	3.587347897	3.459241922	3.40067514	3.40067514	3.53525989	3.409281996
RP11-18I14.11	6.14919043	6.001698951	5.804136351	6.020809908	6.014165694	5.937278676	5.861967228	6.167643177	5.894139926	6.062766751	5.917142415	5.850117638
RP11-190A12.8	5.597862375	5.402945027	5.512380741	5.558676692	5.698904136	5.40325754	5.445586792	5.680311118	5.620327619	5.55782109	5.519607133	5.542681792
RP11-194N12.2	3.8344266835	4.106831161	3.908072881	3.7108354045	3.805102209	3.9290443980000003	4.085446106	3.7940438894999997	3.9921423875	3.985424644	4.0153962965	4.09531577
RP11-195M16.3	5.727582523	5.822155388	5.636586828	5.76232239	5.891439892	5.849899533	5.940270489	5.704104076	5.793604117	5.688490645	5.737330549	5.784073031
